step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.00000000,-0.00000000,0.00656398,0.00000001,0.00656398,0.00000000,-0.00000000,0.00000000
2,0.00000000,-0.00000000,0.01244056,0.00000002,0.01244056,0.00000000,-0.00000000,0.00000000
3,0.00000000,-0.00000001,0.01779173,0.00000004,0.01779173,0.00000000,-0.00000001,0.00000000
4,0.00000000,-0.00000001,0.02273344,0.00000005,0.02273344,0.00000000,-0.00000001,0.00000000
5,0.00000000,-0.00000001,0.02735049,0.00000006,0.02735049,0.00000000,-0.00000001,0.00000000
6,0.00000000,-0.00000002,0.03170564,0.00000008,0.03170564,0.00000000,-0.00000002,0.00000000
7,0.00000000,-0.00000002,0.03584572,0.00000010,0.03584572,0.00000000,-0.00000002,0.00000000
8,0.00000000,-0.00000003,0.03980586,0.00000012,0.03980586,0.00000000,-0.00000003,0.00000000
9,0.00000000,-0.00000004,0.04361242,0.00000014,0.04361242,0.00000000,-0.00000004,0.00000000
10,0.00000000,-0.00000006,0.04728516,0.00000016,0.04728516,0.00000000,-0.00000006,0.00000000
11,0.00000000,-0.00000008,0.05083876,0.00000018,0.05083876,0.00000000,-0.00000008,0.00000000
12,0.00000000,-0.00000010,0.05428402,0.00000020,0.05428402,0.00000000,-0.00000010,0.00000000
13,0.00000000,-0.00000013,0.05762869,0.00000023,0.05762869,0.00000000,-0.00000013,0.00000000
14,0.00000000,-0.00000017,0.06087816,0.00000025,0.06087816,0.00000000,-0.00000017,0.00000000
15,0.00000000,-0.00000021,0.06403600,0.00000027,0.06403600,0.00000000,-0.00000021,0.00000000
16,0.00000000,-0.00000025,0.06710434,0.00000030,0.06710434,0.00000000,-0.00000025,0.00000000
17,0.00000000,-0.00000030,0.07008421,0.00000032,0.07008421,0.00000000,-0.00000030,0.00000000
18,0.00000000,-0.00000036,0.07297579,0.00000034,0.07297579,0.00000000,-0.00000036,0.00000000
19,0.00000000,-0.00000042,0.07577860,0.00000036,0.07577860,0.00000000,-0.00000042,0.00000000
20,0.00000000,-0.00000049,0.07849171,0.00000038,0.07849171,0.00000000,-0.00000049,0.00000000
21,0.00000000,-0.00000056,0.08111383,0.00000040,0.08111383,0.00000000,-0.00000056,0.00000000
22,0.00000000,-0.00000064,0.08364345,0.00000042,0.08364345,0.00000000,-0.00000064,0.00000000
23,0.00000000,-0.00000072,0.08607893,0.00000043,0.08607893,0.00000000,-0.00000072,0.00000000
24,0.00000000,-0.00000079,0.08841859,0.00000044,0.08841859,0.00000000,-0.00000079,0.00000000
25,0.00000000,-0.00000087,0.09066076,0.00000045,0.09066076,0.00000000,-0.00000087,0.00000000
26,0.00000000,-0.00000095,0.09280389,0.00000046,0.09280389,0.00000000,-0.00000095,0.00000000
27,0.00000000,-0.00000103,0.09484658,0.00000046,0.09484658,0.00000000,-0.00000103,0.00000000
28,0.00000000,-0.00000110,0.09678766,0.00000047,0.09678766,0.00000000,-0.00000110,0.00000000
29,0.00000000,-0.00000116,0.09862623,0.00000047,0.09862623,0.00000000,-0.00000116,0.00000000
30,0.00000000,-0.00000108,0.10036773,0.00000041,0.10036773,0.00000000,-0.00000108,0.00000000
31,0.00000000,-0.00000101,0.10200477,0.00000037,0.10200477,0.00000000,-0.00000101,0.00000000
32,0.00000000,-0.00000094,0.10353751,0.00000032,0.10353751,0.00000000,-0.00000094,0.00000000
33,0.00000000,-0.00000087,0.10496665,0.00000029,0.10496665,0.00000000,-0.00000087,0.00000000
34,0.00000000,-0.00000081,0.10629337,0.00000026,0.10629337,0.00000000,-0.00000081,0.00000000
35,0.00000000,-0.00000075,0.10751942,0.00000023,0.10751942,0.00000000,-0.00000075,0.00000000
36,0.00000000,-0.00000069,0.10864708,0.00000020,0.10864708,0.00000000,-0.00000069,0.00000000
37,0.00000000,-0.00000064,0.10967914,0.00000018,0.10967914,0.00000000,-0.00000064,0.00000000
38,0.00000000,-0.00000059,0.11061895,0.00000016,0.11061895,0.00000000,-0.00000059,0.00000000
39,0.00000000,-0.00000054,0.11147032,0.00000014,0.11147032,0.00000000,-0.00000054,0.00000000
40,0.00000000,-0.00000049,0.11223752,0.00000013,0.11223752,0.00000000,-0.00000049,0.00000000
41,0.00000000,-0.00000044,0.11292521,0.00000011,0.11292521,0.00000000,-0.00000044,0.00000000
42,0.00000000,-0.00000039,0.11353837,0.00000010,0.11353837,0.00000000,-0.00000039,0.00000000
43,0.00000000,-0.00000035,0.11408225,0.00000008,0.11408225,0.00000000,-0.00000035,0.00000000
44,0.00000000,-0.00000031,0.11456225,0.00000007,0.11456225,0.00000000,-0.00000031,0.00000000
45,0.00000000,-0.00000027,0.11498389,0.00000006,0.11498389,0.00000000,-0.00000027,0.00000000
46,0.00000000,-0.00000023,0.11535266,0.00000005,0.11535266,0.00000000,-0.00000023,0.00000000
47,0.00000000,-0.00000019,0.11567396,0.00000004,0.11567396,0.00000000,-0.00000019,0.00000000
48,0.00000000,-0.00000016,0.11595302,0.00000003,0.11595302,0.00000000,-0.00000016,0.00000000
49,0.00000000,-0.00000013,0.11619486,0.00000003,0.11619486,0.00000000,-0.00000013,0.00000000
50,0.00000000,-0.00000010,0.11640415,0.00000002,0.11640415,0.00000000,-0.00000010,0.00000000
51,0.00000000,-0.00000008,0.11658522,0.00000001,0.11658522,0.00000000,-0.00000008,0.00000000
52,0.00000000,-0.00000006,0.11674203,0.00000001,0.11674203,0.00000000,-0.00000006,0.00000000
53,0.00000000,-0.00000003,0.11687812,0.00000000,0.11687812,0.00000000,-0.00000003,0.00000000
54,0.00000000,-0.00000002,0.11699660,0.00000000,0.11699660,0.00000000,-0.00000002,0.00000000
55,0.00000000,0.00000000,0.11710020,-0.00000000,0.11710020,0.00000000,0.00000000,0.00000000
56,0.00000000,0.00000001,0.11719125,-0.00000001,0.11719125,0.00000000,0.00000001,0.00000000
57,0.00000000,0.00000003,0.11727171,-0.00000001,0.11727171,0.00000000,0.00000003,0.00000000
58,0.00000000,0.00000004,0.11734324,-0.00000001,0.11734324,0.00000000,0.00000004,0.00000000
59,0.00000000,0.00000004,0.11740718,-0.00000001,0.11740718,0.00000000,0.00000004,0.00000000
60,0.00000000,0.00000005,0.11746464,-0.00000001,0.11746464,0.00000000,0.00000005,0.00000000
61,0.00000000,0.00000005,0.11751652,-0.00000001,0.11751652,0.00000000,0.00000005,0.00000000
62,0.00000000,0.00000005,0.11756404,-0.00000001,0.11756404,0.00000000,0.00000005,0.00000000
63,0.00000000,0.00000005,0.11760695,-0.00000001,0.11760695,0.00000000,0.00000005,0.00000000
64,0.00000000,0.00000005,0.11764569,-0.00000001,0.11764569,0.00000000,0.00000005,0.00000000
65,0.00000000,0.00000005,0.11768065,-0.00000001,0.11768065,0.00000000,0.00000005,0.00000000
66,0.00000000,0.00000004,0.11771210,-0.00000001,0.11771210,0.00000000,0.00000004,0.00000000
67,0.00000000,0.00000004,0.11774031,-0.00000001,0.11774031,0.00000000,0.00000004,0.00000000
68,0.00000000,0.00000004,0.11776546,-0.00000001,0.11776546,0.00000000,0.00000004,0.00000000
69,0.00000000,0.00000004,0.11778774,-0.00000001,0.11778774,0.00000000,0.00000004,0.00000000
70,0.00000000,0.00000003,0.11780730,-0.00000001,0.11780730,0.00000000,0.00000003,0.00000000
71,0.00000000,0.00000003,0.11782427,-0.00000001,0.11782427,0.00000000,0.00000003,0.00000000
72,0.00000000,0.00000003,0.11783878,-0.00000001,0.11783878,0.00000000,0.00000003,0.00000000
73,0.00000000,0.00000003,0.11785093,-0.00000001,0.11785093,0.00000000,0.00000003,0.00000000
74,0.00000000,0.00000003,0.11786082,-0.00000001,0.11786082,0.00000000,0.00000003,0.00000000
75,0.00000000,0.00000002,0.11786851,-0.00000001,0.11786851,0.00000000,0.00000002,0.00000000
76,0.00000000,0.00000002,0.11787409,-0.00000001,0.11787409,0.00000000,0.00000002,0.00000000
77,0.00000000,0.00000002,0.11787759,-0.00000001,0.11787759,0.00000000,0.00000002,0.00000000
78,0.00000000,0.00000002,0.11787907,-0.00000001,0.11787907,0.00000000,0.00000002,0.00000000
79,0.00000000,0.00000002,0.11787854,-0.00000001,0.11787854,0.00000000,0.00000002,0.00000000
80,0.00000000,0.00000002,0.11787604,-0.00000001,0.11787604,0.00000000,0.00000002,0.00000000
81,0.00000000,0.00000002,0.11787157,-0.00000001,0.11787157,0.00000000,0.00000002,0.00000000
82,0.00000000,0.00000002,0.11786512,-0.00000001,0.11786512,0.00000000,0.00000002,0.00000000
83,0.00000000,0.00000003,0.11785670,-0.00000001,0.11785670,0.00000000,0.00000003,0.00000000
84,0.00000000,0.00000003,0.11784630,-0.00000001,0.11784630,0.00000000,0.00000003,0.00000000
85,0.00000000,0.00000003,0.11783388,-0.00000001,0.11783388,0.00000000,0.00000003,0.00000000
86,0.00000000,0.00000003,0.11781944,-0.00000001,0.11781944,0.00000000,0.00000003,0.00000000
87,0.00000000,0.00000004,0.11780294,-0.00000001,0.11780294,0.00000000,0.00000004,0.00000000
88,0.00000000,0.00000004,0.11778435,-0.00000001,0.11778435,0.00000000,0.00000004,0.00000000
89,0.00000000,0.00000004,0.11776363,-0.00000001,0.11776363,0.00000000,0.00000004,0.00000000
90,0.00000000,0.00000004,0.11774074,-0.00000001,0.11774074,0.00000000,0.00000004,0.00000000
91,0.00000000,0.00000005,0.11771565,-0.00000001,0.11771565,0.00000000,0.00000005,0.00000000
92,0.00000000,0.00000005,0.11768830,-0.00000001,0.11768830,0.00000000,0.00000005,0.00000000
93,0.00000000,0.00000005,0.11765865,-0.00000001,0.11765865,0.00000000,0.00000005,0.00000000
94,0.00000000,0.00000006,0.11762664,-0.00000001,0.11762664,0.00000000,0.00000006,0.00000000
95,0.00000000,0.00000006,0.11759221,-0.00000001,0.11759221,0.00000000,0.00000006,0.00000000
96,0.00000000,0.00000006,0.11755489,-0.00000001,0.11755489,0.00000000,0.00000006,0.00000000
97,0.00000000,0.00000006,0.11751504,-0.00000001,0.11751504,0.00000000,0.00000006,0.00000000
98,0.00000000,0.00000006,0.11747256,-0.00000001,0.11747256,0.00000000,0.00000006,0.00000000
99,0.00000000,0.00000006,0.11742738,-0.00000001,0.11742738,0.00000000,0.00000006,0.00000000
100,0.00000000,0.00000007,0.11737939,-0.00000001,0.11737939,0.00000000,0.00000007,0.00000000
101,0.00000000,0.00000007,0.11732849,-0.00000001,0.11732849,0.00000000,0.00000007,0.00000000
102,0.00000000,0.00000007,0.11727457,-0.00000001,0.11727457,0.00000000,0.00000007,0.00000000
103,0.00000000,0.00000007,0.11721751,-0.00000001,0.11721751,0.00000000,0.00000007,0.00000000
104,0.00000000,0.00000008,0.11715721,-0.00000001,0.11715721,0.00000000,0.00000008,0.00000000
105,0.00000000,0.00000008,0.11709354,-0.00000001,0.11709354,0.00000000,0.00000008,0.00000000
106,0.00000000,0.00000008,0.11702639,-0.00000001,0.11702639,0.00000000,0.00000008,0.00000000
107,0.00000000,0.00000008,0.11695566,-0.00000001,0.11695566,0.00000000,0.00000008,0.00000000
108,0.00000000,0.00000009,0.11688124,-0.00000001,0.11688124,0.00000000,0.00000009,0.00000000
109,0.00000000,0.00000009,0.11680303,-0.00000001,0.11680303,0.00000000,0.00000009,0.00000000
110,0.00000000,0.00000009,0.11672093,-0.00000001,0.11672093,0.00000000,0.00000009,0.00000000
111,0.00000000,0.00000010,0.11663484,-0.00000001,0.11663484,0.00000000,0.00000010,0.00000000
112,0.00000000,0.00000010,0.11654468,-0.00000001,0.11654468,0.00000000,0.00000010,0.00000000
113,0.00000000,0.00000011,0.11645035,-0.00000002,0.11645035,0.00000000,0.00000011,0.00000000
114,0.00000000,0.00000011,0.11635173,-0.00000002,0.11635173,0.00000000,0.00000011,0.00000000
